id,reference_path,search_path,gt_x,gt_y,gt_box_x,gt_box_y,gt_box_w,gt_box_h,architecture,rotation_deg,is_rgb,randomized_acquisition,beam_spot_size_nm,collapse_threshold_nm,dose_reference,dose_search,shear_amplitude_px,drift_jitter_px,astigmatism_ratio,vignette_strength,gamma,barrel_distortion_k,charging_streak_prob,charging_streak_intensity,speckle_sigma,salt_pepper_prob,linewidth_bias_nm,corner_rounding_px,mat_size_nm,strip_width_nm,boundary_bias,seed,tier
95,./dataset_curated/low_noise/reference/00095.png,./dataset_curated/low_noise/search/00095.png,402.2691805097701,298.0334575140121,350.9,248.7,100,100,finfet_10nm,-0.3900297607619176,False,True,5.0,10.0,2000.0,671.4638938899307,1.089187019111535,1.1434792541470449,1.21015213300734,0.1516509612400669,0.7502378384271825,0.0044455916202494,1.196443520905616,0.4879495298508546,0.2433814604360419,0.0017929102460349,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
113,./dataset_curated/low_noise/reference/00113.png,./dataset_curated/low_noise/search/00113.png,563.7635028914942,400.6360419762848,512.3,349.7,100,100,finfet_10nm,-0.8441493164306078,False,True,5.0,10.0,2000.0,800.9222037435367,2.5559600050135898,1.4822937999355417,1.211372050120762,0.2961940461053146,1.3490299206515768,0.0024188840123384,0.164384625164897,1.824581581421779,0.0002604321554674,0.0091135623442874,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
21,./dataset_curated/low_noise/reference/00021.png,./dataset_curated/low_noise/search/00021.png,568.3972334433262,706.6342106554488,518.5,656.6,100,100,finfet_45nm,-0.028428795595544,False,True,5.0,10.0,2000.0,678.6135262075226,1.5546933134828669,1.968460092262632,1.2111641414063397,0.2506212257197914,0.7620297245333698,0.0012229161109789,0.3092504480562431,0.3530585010931416,0.136491449318628,0.000253374122623,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
25,./dataset_curated/low_noise/reference/00025.png,./dataset_curated/low_noise/search/00025.png,553.6130983772529,131.36780555890826,509.0,82.2,100,100,finfet_14nm,0.8393464692474861,False,True,5.0,10.0,2000.0,724.5263457968937,0.5690847447409806,1.2082326261255734,1.2735980358580796,0.1520012638521562,1.2957669533709093,0.0028165609248398,2.8132731141426794,0.4672893697993504,0.0926920776822803,0.0037567512450766,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
171,./dataset_curated/low_noise/reference/00171.png,./dataset_curated/low_noise/search/00171.png,548.9259594122216,426.9311048989899,500.6,378.1,100,100,finfet_28nm,1.3323869427224144,False,True,5.0,10.0,2000.0,724.3717242896163,1.9817974735387824,0.3212380149114714,0.9440393818932312,0.2146397195128728,0.9773095973256788,-0.0396616970042395,3.209436147987164,1.759104150397266,0.0034234209388199,0.0032277049720333,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
137,./dataset_curated/low_noise/reference/00137.png,./dataset_curated/low_noise/search/00137.png,834.9896075244872,481.4987988438117,784.9,429.9,100,100,finfet_45nm,-0.2730829382400941,False,True,5.0,10.0,2000.0,499.5501647752184,1.3679054225058422,0.6448044085950024,1.1880967504075115,0.2105512493672083,1.1873233755457986,0.0057214172805142,1.775550837577663,0.480953482135534,0.0340147023966028,0.0037765992675063,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
93,./dataset_curated/low_noise/reference/00093.png,./dataset_curated/low_noise/search/00093.png,129.56397306613175,556.2788338765804,79.4,505.2,100,100,finfet_10nm,0.1670529052254847,False,True,5.0,10.0,2000.0,823.2762332883344,0.7357952776968548,1.5248137017042351,1.115008587780481,0.1067760237336814,1.0950086970293136,0.0095917949795676,3.193556116649833,1.4211335791868571,0.1491098976073315,0.0008271277180969,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
7,./dataset_curated/low_noise/reference/00007.png,./dataset_curated/low_noise/search/00007.png,321.18078801347326,564.9888436033508,272.2,517.7,100,100,finfet_45nm,-0.8736019005438802,False,True,5.0,10.0,2000.0,836.8152167836407,2.0089664193855485,1.8390933453014724,1.2714465188699795,0.0655311365123026,0.8718946125942192,-0.0102152077758291,0.692456269540944,0.1458354086258375,0.0678256476524114,0.004668662288779,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
112,./dataset_curated/low_noise/reference/00112.png,./dataset_curated/low_noise/search/00112.png,523.269139537209,594.9660044500695,475.8,544.3,100,100,finfet_14nm,-1.5241721406657531,False,True,5.0,10.0,2000.0,814.527599205097,2.015986093405953,0.4726502556301535,0.8531535290055945,0.0935747402729032,1.1625898056551225,0.0184675726431622,1.886875328186284,1.4477612632735657,0.0339408367928919,0.0062682042678292,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
84,./dataset_curated/low_noise/reference/00084.png,./dataset_curated/low_noise/search/00084.png,701.0290960747949,551.3119043780105,650.4,503.7,100,100,finfet_28nm,0.6800014982166802,False,True,5.0,10.0,2000.0,707.3234029429891,3.671265339373373,0.2465612021106033,0.9659355935249544,0.149924888679778,1.1697295143705673,-0.0299989981485238,2.579969125111541,0.3543767530664939,0.0426852840788827,0.0019795348890601,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
23,./dataset_curated/low_noise/reference/00023.png,./dataset_curated/low_noise/search/00023.png,567.1258806064495,440.1431109962607,517.0,390.0,100,100,finfet_14nm,-0.1213631761000151,False,True,5.0,10.0,2000.0,810.5085355149688,1.3828987897562923,1.1789666143804942,1.0647454121525912,0.1411739703192932,1.2203714421601273,0.014976347441957,0.5331267956121439,1.3277753219043138,0.0957707792753459,0.0053477106218986,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
87,./dataset_curated/low_noise/reference/00087.png,./dataset_curated/low_noise/search/00087.png,509.5242174034206,268.561122663487,458.0,218.5,100,100,finfet_14nm,-0.3781058993990154,False,True,5.0,10.0,2000.0,584.2635165649147,0.7903734470137436,1.2089555427287073,1.1061909962698218,0.2384334316880169,0.8098742999932779,-0.026126666675872,1.5918689150516865,1.4782204553756315,0.0877265720509029,0.0007746982047993,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
19,./dataset_curated/low_noise/reference/00019.png,./dataset_curated/low_noise/search/00019.png,423.91984643215454,256.9113556106533,380.0,205.1,100,100,finfet_45nm,1.4306248933548449,False,True,5.0,10.0,2000.0,856.7425135830624,2.726894702996304,0.3415165735463988,0.8887164586860483,0.1172940246480052,0.82260440892484,0.0103691279130675,1.1230663250006403,1.9449486598796089,0.1272438138372136,0.0005728296243925,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
168,./dataset_curated/low_noise/reference/00168.png,./dataset_curated/low_noise/search/00168.png,238.66499609909096,566.1885352966519,189.4,519.0,100,100,finfet_22nm,-0.6184399074330287,False,True,5.0,10.0,2000.0,552.8739171820934,1.73712886528569,1.989771616832514,0.8618440820794107,0.2636301724177498,0.8076459859092435,0.0339708209620171,1.0561953288406771,0.0777725090202367,0.1008890474216307,0.0069713722757135,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
56,./dataset_curated/low_noise/reference/00056.png,./dataset_curated/low_noise/search/00056.png,436.9347533681853,573.4383521178299,385.5,522.2,100,100,finfet_14nm,1.1211622111520725,False,True,5.0,10.0,2000.0,869.7012742712966,3.848192064108824,1.0625840514777165,1.0748508112128397,0.0493539449198067,0.92864602647687,0.0075329346554732,1.7112089473502587,0.1673599610481673,0.2257025322760755,0.0035826910889256,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
117,./dataset_curated/low_noise/reference/00117.png,./dataset_curated/low_noise/search/00117.png,303.1991737288285,441.9236541168569,255.1,385.8,100,100,finfet_22nm,1.7959051332318596,False,True,5.0,10.0,2000.0,859.9577472240001,3.0934597918596296,0.624179830335731,1.2164166074057483,0.0199520818679615,1.1293877979912688,-0.0287615629064986,2.449457108238451,0.215286526923398,0.0419819289505918,0.0089911923354547,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
1,./dataset_curated/low_noise/reference/00001.png,./dataset_curated/low_noise/search/00001.png,272.7311549714202,588.2359054971771,222.6,537.9,100,100,finfet_7nm,0.0848458693929683,False,True,5.0,10.0,2000.0,798.2859222710626,2.854847993269962,0.3464753768842783,0.807272211712063,0.2580315763171137,1.014060656785547,0.0478974022878431,1.75026166681665,0.0691712823952889,0.1116240930658276,0.007336705973078,0.0,0.0,2600.0,320.0,0.35,12345,low_noise
